SAMPLE_ID	brca_metabric_mutations	brca_metabric_cna	brca_metabric_mrna
MB-0178	METABRIC_173	METABRIC_173	METABRIC_173
MB-0179	METABRIC_173	METABRIC_173	METABRIC_173
MB-0180	METABRIC_173	METABRIC_173	METABRIC_173
MB-0181	METABRIC_173	METABRIC_173	METABRIC_173
MB-0184	METABRIC_173	METABRIC_173	METABRIC_173
MB-0185	METABRIC_173	METABRIC_173	METABRIC_173
MB-0188	METABRIC_173	METABRIC_173	METABRIC_173
MB-0189	METABRIC_173	METABRIC_173	METABRIC_173
MB-0191	METABRIC_173	METABRIC_173	METABRIC_173
MB-0192	METABRIC_173	METABRIC_173	METABRIC_173
MB-0193	METABRIC_173	METABRIC_173	METABRIC_173
MB-0194	METABRIC_173	METABRIC_173	METABRIC_173
MB-0195	METABRIC_173	METABRIC_173	METABRIC_173
MB-0197	METABRIC_173	METABRIC_173	METABRIC_173
MB-0198	METABRIC_173	METABRIC_173	METABRIC_173
MB-0199	METABRIC_173	METABRIC_173	METABRIC_173
MB-0200	METABRIC_173	METABRIC_173	METABRIC_173
MB-0201	METABRIC_173	METABRIC_173	METABRIC_173
MB-0202	METABRIC_173	METABRIC_173	METABRIC_173
MB-0203	METABRIC_173	METABRIC_173	METABRIC_173
MB-0204	METABRIC_173	METABRIC_173	METABRIC_173
MB-0205	METABRIC_173	METABRIC_173	METABRIC_173
MB-0206	METABRIC_173	METABRIC_173	METABRIC_173
MB-0207	METABRIC_173	METABRIC_173	METABRIC_173
MB-0209	METABRIC_173	METABRIC_173	METABRIC_173
MB-0210	METABRIC_173	METABRIC_173	METABRIC_173
MB-0211	METABRIC_173	METABRIC_173	METABRIC_173
MB-0214	METABRIC_173	METABRIC_173	METABRIC_173
MB-0215	METABRIC_173	METABRIC_173	METABRIC_173
MB-0218	METABRIC_173	METABRIC_173	METABRIC_173
MB-0220	METABRIC_173	METABRIC_173	METABRIC_173
MB-0221	METABRIC_173	METABRIC_173	METABRIC_173
MB-0222	METABRIC_173	METABRIC_173	METABRIC_173
MB-0223	METABRIC_173	METABRIC_173	METABRIC_173
MB-0224	METABRIC_173	METABRIC_173	METABRIC_173
MB-0225	METABRIC_173	METABRIC_173	METABRIC_173
MB-0226	METABRIC_173	METABRIC_173	METABRIC_173
MB-0227	METABRIC_173	METABRIC_173	METABRIC_173
MB-0228	METABRIC_173	METABRIC_173	METABRIC_173
